Material_ID,Material_Name,Material_Class,Base_Fiber,Coating_Type,Weave_Pattern,Test_Environment,Areal_Density_gm2,Thickness_mm,Outgassing_TML_percent,Outgassing_CVCM_percent,Flammability_Rating,Thermal_Conductivity_Through_WmK,Thermal_Conductivity_InPlane_WmK,Tensile_Strength_MPa,Tensile_Modulus_GPa,Bulk_Density_kgm3,Max_Service_Temp_C,k_-100C_WmK,k_0C_WmK,k_23C_WmK,k_150C_WmK,k_200C_WmK,Notes,Data_Source
FAB-COTTON-PL-200,Cotton fabric,Textile,Cotton,,Plain,Air,150.0,0.2,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-PL-500,Cotton fabric,Textile,Cotton,,Plain,Air,375.0,0.5,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-PL-1000,Cotton fabric,Textile,Cotton,,Plain,Air,750.0,1.0,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-TW-200,Cotton fabric,Textile,Cotton,,Twill,Air,180.0,0.2,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-TW-500,Cotton fabric,Textile,Cotton,,Twill,Air,450.0,0.5,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-TW-1000,Cotton fabric,Textile,Cotton,,Twill,Air,900.0,1.0,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-SA-200,Cotton fabric,Textile,Cotton,,Satin,Air,200.0,0.2,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-SA-500,Cotton fabric,Textile,Cotton,,Satin,Air,500.0,0.5,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-SA-1000,Cotton fabric,Textile,Cotton,,Satin,Air,1000.0,1.0,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-BA-200,Cotton fabric,Textile,Cotton,,Basket,Air,220.0,0.2,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-BA-500,Cotton fabric,Textile,Cotton,,Basket,Air,550.0,0.5,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-BA-1000,Cotton fabric,Textile,Cotton,,Basket,Air,1100.0,1.0,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
